161.9848 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
161.9859 	INFO 	Loaded monitor calibration from ['2024_08_09 11:05']
164.2868 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BF4C43B8E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BF4C43B880>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BF4C43B6D0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001BF4C80D850>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
164.2869 	EXP 	window1: backgroundImage = ''
164.2869 	EXP 	window1: backgroundFit = 'none'
164.2873 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BF4C43BA00>
164.2875 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BF4C43BA00>
164.5517 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BF4C43BA00>
164.5524 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BF4C43BA00>
164.5727 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5739 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5750 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5763 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5776 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5784 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5794 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5807 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5814 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5825 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5844 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5862 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5879 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5897 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5914 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5933 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5951 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5963 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.5976 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.6000 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.6011 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.6016 	DEBUG 	Uploading Texture Font fontname to graphics card
164.6191 	DEBUG 	Upload of Texture Font fontname complete
164.6208 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BF4C43BA00>
164.6209 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BF4C43BA00>
164.6217 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BF4C43BA00>
164.6222 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001BF4C43BA00>
164.6417 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.6431 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.6445 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
164.6448 	DEBUG 	Uploading Texture Font fontname to graphics card
164.6622 	DEBUG 	Upload of Texture Font fontname complete
164.6658 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
164.6658 	EXP 	window1: recordFrameIntervals = False
164.9257 	EXP 	window1: recordFrameIntervals = True
165.1091 	EXP 	Screen (0) actual frame rate measured at 60.08Hz
165.1091 	EXP 	window1: recordFrameIntervals = False
165.1092 	EXP 	window1: mouseVisible = True
165.1096 	EXP 	window1: mouseVisible = True
165.1098 	EXP 	window1: mouseVisible = True
165.1111 	EXP 	window1: mouseVisible = True
165.1117 	EXP 	window1: mouseVisible = True
165.1306 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
165.1315 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
165.1326 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
165.1340 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
165.1352 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
165.1365 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
165.1373 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
165.1385 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
165.1397 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
165.1410 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
165.1413 	DEBUG 	Uploading Texture Font fontname to graphics card
165.1418 	DEBUG 	Upload of Texture Font fontname complete
165.1438 	EXP 	window1: mouseVisible = True
165.1440 	EXP 	window1: mouseVisible = True
165.1449 	EXP 	window1: mouseVisible = True
165.1455 	EXP 	window1: mouseVisible = True
165.3873 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
168.7701 	INFO 	keyboard.Keyboard is using iohub backend.
168.7702 	INFO 	keyboard.Keyboard is using iohub backend.
168.8566 	EXP 	binding: status = STARTED
168.8569 	EXP 	window1: mouseVisible = True
168.8607 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
168.8608 	EXP 	window1: mouseVisible = True
